career_best_points,defence_touch_points,defending_bonus_points,empty_raid,green_cards,high_5s,location,match_played,name,not_out_percentage,player_id,player_team,player_team_arr,point,points_defence_offence,points_per_match_raid_tackle,raid_bonus_points,raid_map_locations,raid_points_per_match,raid_touch_points,raids,red_cards,role,series_id,series_name,success_raid_percent,success_raids,success_tackles,success_tackles_per_match,super_10s,super_raids,super_tackles,tackle_bonus_points,tackle_success_rate,tackles,total_capture_points,total_defending_points,total_raid_points,total_tackle_points,unsuccesful_tackles,unsuccess_raids,yellow_cards
0,0,0,0,0,0,0.0,0,Sandeep,0.0,299,0,"[{'team_id': 6, 'team_name': 'Patna Pirates', 'team_short_name': 'Patna', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",0,0,0.0,0,0.0,0.0,0,0,0,0.0,8,"Pro Kabaddi League Season 5, 2017",0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0
0,0,0,1,0,0,,3,Abolfazl Maghsodloumahali,50.0,300,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",0,0,0.0,0,,0.0,0,2,0,,3,"Pro Kabaddi League Season 3, 2016",0.0,0,0,0.0,0,0,0,,0.0,0,,0,0,0,0,1,0
9,0,0,5,0,0,,9,Abolfazl Maghsodloumahali,62.16,300,0,"[{'team_id': 6, 'team_name': 'Patna Pirates', 'team_short_name': 'Patna', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}]",25,25,2.77,6,,2.77,19,37,0,,4,"Pro Kabaddi League Season 4, 2016",67.56,18,0,0.0,0,2,0,,0.0,1,,0,25,0,1,14,0
11,6,1,106,4,0,,19,Abolfazl Maghsodloumahali,79.56,300,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",97,97,5.1,20,,4.78,71,230,0,,8,"Pro Kabaddi League Season 5, 2017",39.56,77,5,0.26,0,0,1,,42.85,14,,6,91,6,9,47,0
5,2,0,39,0,0,,10,Abolfazl Maghsodloumahali,75.32,300,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",25,25,2.5,3,,2.3,20,77,0,,26,"Pro Kabaddi League Season 6, 2018",29.87,19,2,0.2,0,2,0,,28.57,7,,2,23,2,5,19,0
4,0,0,1,0,0,,6,Abolfazl Maghsodloumahali,40.0,300,0,"[{'team_id': 31, 'team_name': 'Gujarat Fortunegiants', 'team_short_name': 'Gujarat', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",5,5,0.83,2,,0.83,3,10,0,,49,"Pro Kabaddi League Season 7, 2019",50.0,3,0,0.0,0,0,0,,0.0,0,,0,5,0,0,6,0
0,0,0,0,0,0,,1,Hadi Tajik,0.0,301,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",0,0,0.0,0,,0.0,0,0,0,,3,"Pro Kabaddi League Season 3, 2016",0.0,0,0,0.0,0,0,0,,0.0,1,,0,0,0,1,0,0
1,1,0,0,0,0,,1,Hadi Tajik,0.0,301,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 4, 'series_name': 'Pro Kabaddi League Season 4, 2016', 'is_latest': True}]",1,1,1.0,0,,0.0,0,0,0,,4,"Pro Kabaddi League Season 4, 2016",0.0,0,1,1.0,0,0,0,,100.0,1,,1,0,1,0,0,0
2,5,0,3,1,0,,9,Hadi Tajik,41.66,301,0,"[{'team_id': 30, 'team_name': 'U.P. Yoddha', 'team_short_name': 'UP', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",9,9,1.0,2,,0.44,2,12,0,,8,"Pro Kabaddi League Season 5, 2017",33.33,2,5,0.55,0,0,0,,21.73,23,,5,4,5,18,7,0
0,0,0,0,3,0,,5,Hadi Tajik,0.0,301,0,"[{'team_id': 5, 'team_name': 'U Mumba', 'team_short_name': 'Mumbai', 'series_id': 26, 'series_name': 'Pro Kabaddi League Season 6, 2018', 'is_latest': True}]",0,0,0.0,0,,0.0,0,0,0,,26,"Pro Kabaddi League Season 6, 2018",0.0,0,0,0.0,0,0,0,,0.0,6,,0,0,0,6,0,0
